Marque;Modele;Annee_Debut;Annee_Fin;Cylindree;Moteur;Puissance;Categorie_Piece;Nom_Piece;Reference_Interne
Hyundai;Accent IV;2010;2017;1.4L;1.4 Gamma;107 ch;Filtration;Filtre à huile;HYU-ACC-OIL-2010
Hyundai;Accent IV;2010;2017;1.4L;1.4 Gamma;107 ch;Filtration;Filtre à air;HYU-ACC-AIR-2010
Hyundai;Accent IV;2010;2017;1.4L;1.4 Gamma;107 ch;Filtration;Filtre à carburant;HYU-ACC-FUEL-2010
Hyundai;Accent IV;2010;2017;1.4L;1.4 Gamma;107 ch;Freinage;Plaquettes de frein avant;HYU-ACC-BRK-F-2010
Hyundai;Accent IV;2010;2017;1.4L;1.4 Gamma;107 ch;Freinage;Disques de frein avant;HYU-ACC-DSC-F-2010
Hyundai;Accent IV;2010;2017;1.4L;1.4 Gamma;107 ch;Freinage;Plaquettes de frein arrière;HYU-ACC-BRK-R-2010
Hyundai;Accent IV;2010;2017;1.4L;1.4 Gamma;107 ch;Suspension;Amortisseurs avant;HYU-ACC-SHK-F-2010
Hyundai;Accent IV;2010;2017;1.4L;1.4 Gamma;107 ch;Moteur;Kit de distribution;HYU-ACC-BELT-2010
Hyundai;Accent IV;2010;2017;1.4L;1.4 Gamma;107 ch;Moteur;Bougies;HYU-ACC-SPK-2010
Hyundai;Accent IV;2010;2017;1.4L;1.4 Gamma;107 ch;Eclairage;Phare avant droit;HYU-ACC-LGT-FR-2010
Hyundai;Accent IV;2010;2017;1.4L;1.4 Gamma;107 ch;Carrosserie;Pare-chocs avant;HYU-ACC-BMP-F-2010
Hyundai;Accent IV;2010;2017;1.6L;1.6 GDI;138 ch;Filtration;Filtre à huile;HYU-ACC-OIL-2010
Hyundai;Accent IV;2010;2017;1.6L;1.6 GDI;138 ch;Filtration;Filtre à air;HYU-ACC-AIR-2010
Hyundai;Accent IV;2010;2017;1.6L;1.6 GDI;138 ch;Filtration;Filtre à carburant;HYU-ACC-FUEL-2010
Hyundai;Accent IV;2010;2017;1.6L;1.6 GDI;138 ch;Freinage;Plaquettes de frein avant;HYU-ACC-BRK-F-2010
Hyundai;Accent IV;2010;2017;1.6L;1.6 GDI;138 ch;Freinage;Disques de frein avant;HYU-ACC-DSC-F-2010
Hyundai;Accent IV;2010;2017;1.6L;1.6 GDI;138 ch;Freinage;Plaquettes de frein arrière;HYU-ACC-BRK-R-2010
Hyundai;Accent IV;2010;2017;1.6L;1.6 GDI;138 ch;Suspension;Amortisseurs avant;HYU-ACC-SHK-F-2010
Hyundai;Accent IV;2010;2017;1.6L;1.6 GDI;138 ch;Moteur;Kit de distribution;HYU-ACC-BELT-2010
Hyundai;Accent IV;2010;2017;1.6L;1.6 GDI;138 ch;Moteur;Bougies;HYU-ACC-SPK-2010
Hyundai;Accent IV;2010;2017;1.6L;1.6 GDI;138 ch;Eclairage;Phare avant droit;HYU-ACC-LGT-FR-2010
Hyundai;Accent IV;2010;2017;1.6L;1.6 GDI;138 ch;Carrosserie;Pare-chocs avant;HYU-ACC-BMP-F-2010
Hyundai;Accent IV;2010;2017;1.6L;1.6 CRDi;128 ch;Filtration;Filtre à huile;HYU-ACC-OIL-2010
Hyundai;Accent IV;2010;2017;1.6L;1.6 CRDi;128 ch;Filtration;Filtre à air;HYU-ACC-AIR-2010
Hyundai;Accent IV;2010;2017;1.6L;1.6 CRDi;128 ch;Filtration;Filtre à carburant;HYU-ACC-FUEL-2010
Hyundai;Accent IV;2010;2017;1.6L;1.6 CRDi;128 ch;Freinage;Plaquettes de frein avant;HYU-ACC-BRK-F-2010
Hyundai;Accent IV;2010;2017;1.6L;1.6 CRDi;128 ch;Freinage;Disques de frein avant;HYU-ACC-DSC-F-2010
Hyundai;Accent IV;2010;2017;1.6L;1.6 CRDi;128 ch;Freinage;Plaquettes de frein arrière;HYU-ACC-BRK-R-2010
Hyundai;Accent IV;2010;2017;1.6L;1.6 CRDi;128 ch;Suspension;Amortisseurs avant;HYU-ACC-SHK-F-2010
Hyundai;Accent IV;2010;2017;1.6L;1.6 CRDi;128 ch;Moteur;Kit de distribution;HYU-ACC-BELT-2010
Hyundai;Accent IV;2010;2017;1.6L;1.6 CRDi;128 ch;Moteur;Bougies;HYU-ACC-SPK-2010
Hyundai;Accent IV;2010;2017;1.6L;1.6 CRDi;128 ch;Eclairage;Phare avant droit;HYU-ACC-LGT-FR-2010
Hyundai;Accent IV;2010;2017;1.6L;1.6 CRDi;128 ch;Carrosserie;Pare-chocs avant;HYU-ACC-BMP-F-2010
Hyundai;Elantra V;2010;2015;1.6L;1.6 MPI;130 ch;Filtration;Filtre à huile;HYU-ELA-OIL-2010
Hyundai;Elantra V;2010;2015;1.6L;1.6 MPI;130 ch;Filtration;Filtre à air;HYU-ELA-AIR-2010
Hyundai;Elantra V;2010;2015;1.6L;1.6 MPI;130 ch;Filtration;Filtre à carburant;HYU-ELA-FUEL-2010
Hyundai;Elantra V;2010;2015;1.6L;1.6 MPI;130 ch;Freinage;Plaquettes de frein avant;HYU-ELA-BRK-F-2010
Hyundai;Elantra V;2010;2015;1.6L;1.6 MPI;130 ch;Freinage;Disques de frein avant;HYU-ELA-DSC-F-2010
Hyundai;Elantra V;2010;2015;1.6L;1.6 MPI;130 ch;Freinage;Plaquettes de frein arrière;HYU-ELA-BRK-R-2010
Hyundai;Elantra V;2010;2015;1.6L;1.6 MPI;130 ch;Suspension;Amortisseurs avant;HYU-ELA-SHK-F-2010
Hyundai;Elantra V;2010;2015;1.6L;1.6 MPI;130 ch;Moteur;Kit de distribution;HYU-ELA-BELT-2010
Hyundai;Elantra V;2010;2015;1.6L;1.6 MPI;130 ch;Moteur;Bougies;HYU-ELA-SPK-2010
Hyundai;Elantra V;2010;2015;1.6L;1.6 MPI;130 ch;Eclairage;Phare avant droit;HYU-ELA-LGT-FR-2010
Hyundai;Elantra V;2010;2015;1.6L;1.6 MPI;130 ch;Carrosserie;Pare-chocs avant;HYU-ELA-BMP-F-2010
Hyundai;Elantra V;2010;2015;1.8L;1.8 MPI;148 ch;Filtration;Filtre à huile;HYU-ELA-OIL-2010
Hyundai;Elantra V;2010;2015;1.8L;1.8 MPI;148 ch;Filtration;Filtre à air;HYU-ELA-AIR-2010
Hyundai;Elantra V;2010;2015;1.8L;1.8 MPI;148 ch;Filtration;Filtre à carburant;HYU-ELA-FUEL-2010
Hyundai;Elantra V;2010;2015;1.8L;1.8 MPI;148 ch;Freinage;Plaquettes de frein avant;HYU-ELA-BRK-F-2010
Hyundai;Elantra V;2010;2015;1.8L;1.8 MPI;148 ch;Freinage;Disques de frein avant;HYU-ELA-DSC-F-2010
Hyundai;Elantra V;2010;2015;1.8L;1.8 MPI;148 ch;Freinage;Plaquettes de frein arrière;HYU-ELA-BRK-R-2010
Hyundai;Elantra V;2010;2015;1.8L;1.8 MPI;148 ch;Suspension;Amortisseurs avant;HYU-ELA-SHK-F-2010
Hyundai;Elantra V;2010;2015;1.8L;1.8 MPI;148 ch;Moteur;Kit de distribution;HYU-ELA-BELT-2010
Hyundai;Elantra V;2010;2015;1.8L;1.8 MPI;148 ch;Moteur;Bougies;HYU-ELA-SPK-2010
Hyundai;Elantra V;2010;2015;1.8L;1.8 MPI;148 ch;Eclairage;Phare avant droit;HYU-ELA-LGT-FR-2010
Hyundai;Elantra V;2010;2015;1.8L;1.8 MPI;148 ch;Carrosserie;Pare-chocs avant;HYU-ELA-BMP-F-2010
Hyundai;Elantra VI;2015;2020;2.0L;2.0 MPI;150 ch;Filtration;Filtre à huile;HYU-ELA-OIL-2015
Hyundai;Elantra VI;2015;2020;2.0L;2.0 MPI;150 ch;Filtration;Filtre à air;HYU-ELA-AIR-2015
Hyundai;Elantra VI;2015;2020;2.0L;2.0 MPI;150 ch;Filtration;Filtre à carburant;HYU-ELA-FUEL-2015
Hyundai;Elantra VI;2015;2020;2.0L;2.0 MPI;150 ch;Freinage;Plaquettes de frein avant;HYU-ELA-BRK-F-2015
Hyundai;Elantra VI;2015;2020;2.0L;2.0 MPI;150 ch;Freinage;Disques de frein avant;HYU-ELA-DSC-F-2015
Hyundai;Elantra VI;2015;2020;2.0L;2.0 MPI;150 ch;Freinage;Plaquettes de frein arrière;HYU-ELA-BRK-R-2015
Hyundai;Elantra VI;2015;2020;2.0L;2.0 MPI;150 ch;Suspension;Amortisseurs avant;HYU-ELA-SHK-F-2015
Hyundai;Elantra VI;2015;2020;2.0L;2.0 MPI;150 ch;Moteur;Kit de distribution;HYU-ELA-BELT-2015
Hyundai;Elantra VI;2015;2020;2.0L;2.0 MPI;150 ch;Moteur;Bougies;HYU-ELA-SPK-2015
Hyundai;Elantra VI;2015;2020;2.0L;2.0 MPI;150 ch;Eclairage;Phare avant droit;HYU-ELA-LGT-FR-2015
Hyundai;Elantra VI;2015;2020;2.0L;2.0 MPI;150 ch;Carrosserie;Pare-chocs avant;HYU-ELA-BMP-F-2015
Hyundai;Tucson III;2015;2020;1.7L;1.7 CRDi;115 ch;Filtration;Filtre à huile;HYU-TUC-OIL-2015
Hyundai;Tucson III;2015;2020;1.7L;1.7 CRDi;115 ch;Filtration;Filtre à air;HYU-TUC-AIR-2015
Hyundai;Tucson III;2015;2020;1.7L;1.7 CRDi;115 ch;Filtration;Filtre à carburant;HYU-TUC-FUEL-2015
Hyundai;Tucson III;2015;2020;1.7L;1.7 CRDi;115 ch;Freinage;Plaquettes de frein avant;HYU-TUC-BRK-F-2015
Hyundai;Tucson III;2015;2020;1.7L;1.7 CRDi;115 ch;Freinage;Disques de frein avant;HYU-TUC-DSC-F-2015
Hyundai;Tucson III;2015;2020;1.7L;1.7 CRDi;115 ch;Freinage;Plaquettes de frein arrière;HYU-TUC-BRK-R-2015
Hyundai;Tucson III;2015;2020;1.7L;1.7 CRDi;115 ch;Suspension;Amortisseurs avant;HYU-TUC-SHK-F-2015
Hyundai;Tucson III;2015;2020;1.7L;1.7 CRDi;115 ch;Moteur;Kit de distribution;HYU-TUC-BELT-2015
Hyundai;Tucson III;2015;2020;1.7L;1.7 CRDi;115 ch;Moteur;Bougies;HYU-TUC-SPK-2015
Hyundai;Tucson III;2015;2020;1.7L;1.7 CRDi;115 ch;Eclairage;Phare avant droit;HYU-TUC-LGT-FR-2015
Hyundai;Tucson III;2015;2020;1.7L;1.7 CRDi;115 ch;Carrosserie;Pare-chocs avant;HYU-TUC-BMP-F-2015
Hyundai;Tucson III;2015;2020;2.0L;2.0 CRDi 4WD;136 ch;Filtration;Filtre à huile;HYU-TUC-OIL-2015
Hyundai;Tucson III;2015;2020;2.0L;2.0 CRDi 4WD;136 ch;Filtration;Filtre à air;HYU-TUC-AIR-2015
Hyundai;Tucson III;2015;2020;2.0L;2.0 CRDi 4WD;136 ch;Filtration;Filtre à carburant;HYU-TUC-FUEL-2015
Hyundai;Tucson III;2015;2020;2.0L;2.0 CRDi 4WD;136 ch;Freinage;Plaquettes de frein avant;HYU-TUC-BRK-F-2015
Hyundai;Tucson III;2015;2020;2.0L;2.0 CRDi 4WD;136 ch;Freinage;Disques de frein avant;HYU-TUC-DSC-F-2015
Hyundai;Tucson III;2015;2020;2.0L;2.0 CRDi 4WD;136 ch;Freinage;Plaquettes de frein arrière;HYU-TUC-BRK-R-2015
Hyundai;Tucson III;2015;2020;2.0L;2.0 CRDi 4WD;136 ch;Suspension;Amortisseurs avant;HYU-TUC-SHK-F-2015
Hyundai;Tucson III;2015;2020;2.0L;2.0 CRDi 4WD;136 ch;Moteur;Kit de distribution;HYU-TUC-BELT-2015
Hyundai;Tucson III;2015;2020;2.0L;2.0 CRDi 4WD;136 ch;Moteur;Bougies;HYU-TUC-SPK-2015
Hyundai;Tucson III;2015;2020;2.0L;2.0 CRDi 4WD;136 ch;Eclairage;Phare avant droit;HYU-TUC-LGT-FR-2015
Hyundai;Tucson III;2015;2020;2.0L;2.0 CRDi 4WD;136 ch;Carrosserie;Pare-chocs avant;HYU-TUC-BMP-F-2015
Hyundai;Tucson III;2015;2020;1.6L;1.6 GDI;132 ch;Filtration;Filtre à huile;HYU-TUC-OIL-2015
Hyundai;Tucson III;2015;2020;1.6L;1.6 GDI;132 ch;Filtration;Filtre à air;HYU-TUC-AIR-2015
Hyundai;Tucson III;2015;2020;1.6L;1.6 GDI;132 ch;Filtration;Filtre à carburant;HYU-TUC-FUEL-2015
Hyundai;Tucson III;2015;2020;1.6L;1.6 GDI;132 ch;Freinage;Plaquettes de frein avant;HYU-TUC-BRK-F-2015
Hyundai;Tucson III;2015;2020;1.6L;1.6 GDI;132 ch;Freinage;Disques de frein avant;HYU-TUC-DSC-F-2015
Hyundai;Tucson III;2015;2020;1.6L;1.6 GDI;132 ch;Freinage;Plaquettes de frein arrière;HYU-TUC-BRK-R-2015
Hyundai;Tucson III;2015;2020;1.6L;1.6 GDI;132 ch;Suspension;Amortisseurs avant;HYU-TUC-SHK-F-2015
Hyundai;Tucson III;2015;2020;1.6L;1.6 GDI;132 ch;Moteur;Kit de distribution;HYU-TUC-BELT-2015
Hyundai;Tucson III;2015;2020;1.6L;1.6 GDI;132 ch;Moteur;Bougies;HYU-TUC-SPK-2015
Hyundai;Tucson III;2015;2020;1.6L;1.6 GDI;132 ch;Eclairage;Phare avant droit;HYU-TUC-LGT-FR-2015
Hyundai;Tucson III;2015;2020;1.6L;1.6 GDI;132 ch;Carrosserie;Pare-chocs avant;HYU-TUC-BMP-F-2015
Hyundai;Santa Fe III;2012;2018;2.2L;2.2 CRDi 4WD;197 ch;Filtration;Filtre à huile;HYU-SAN-OIL-2012
Hyundai;Santa Fe III;2012;2018;2.2L;2.2 CRDi 4WD;197 ch;Filtration;Filtre à air;HYU-SAN-AIR-2012
Hyundai;Santa Fe III;2012;2018;2.2L;2.2 CRDi 4WD;197 ch;Filtration;Filtre à carburant;HYU-SAN-FUEL-2012
Hyundai;Santa Fe III;2012;2018;2.2L;2.2 CRDi 4WD;197 ch;Freinage;Plaquettes de frein avant;HYU-SAN-BRK-F-2012
Hyundai;Santa Fe III;2012;2018;2.2L;2.2 CRDi 4WD;197 ch;Freinage;Disques de frein avant;HYU-SAN-DSC-F-2012
Hyundai;Santa Fe III;2012;2018;2.2L;2.2 CRDi 4WD;197 ch;Freinage;Plaquettes de frein arrière;HYU-SAN-BRK-R-2012
Hyundai;Santa Fe III;2012;2018;2.2L;2.2 CRDi 4WD;197 ch;Suspension;Amortisseurs avant;HYU-SAN-SHK-F-2012
Hyundai;Santa Fe III;2012;2018;2.2L;2.2 CRDi 4WD;197 ch;Moteur;Kit de distribution;HYU-SAN-BELT-2012
Hyundai;Santa Fe III;2012;2018;2.2L;2.2 CRDi 4WD;197 ch;Moteur;Bougies;HYU-SAN-SPK-2012
Hyundai;Santa Fe III;2012;2018;2.2L;2.2 CRDi 4WD;197 ch;Eclairage;Phare avant droit;HYU-SAN-LGT-FR-2012
Hyundai;Santa Fe III;2012;2018;2.2L;2.2 CRDi 4WD;197 ch;Carrosserie;Pare-chocs avant;HYU-SAN-BMP-F-2012
Hyundai;Santa Fe IV;2018;2023;2.2L;2.2 CRDi HTRAC;200 ch;Filtration;Filtre à huile;HYU-SAN-OIL-2018
Hyundai;Santa Fe IV;2018;2023;2.2L;2.2 CRDi HTRAC;200 ch;Filtration;Filtre à air;HYU-SAN-AIR-2018
Hyundai;Santa Fe IV;2018;2023;2.2L;2.2 CRDi HTRAC;200 ch;Filtration;Filtre à carburant;HYU-SAN-FUEL-2018
Hyundai;Santa Fe IV;2018;2023;2.2L;2.2 CRDi HTRAC;200 ch;Freinage;Plaquettes de frein avant;HYU-SAN-BRK-F-2018
Hyundai;Santa Fe IV;2018;2023;2.2L;2.2 CRDi HTRAC;200 ch;Freinage;Disques de frein avant;HYU-SAN-DSC-F-2018
Hyundai;Santa Fe IV;2018;2023;2.2L;2.2 CRDi HTRAC;200 ch;Freinage;Plaquettes de frein arrière;HYU-SAN-BRK-R-2018
Hyundai;Santa Fe IV;2018;2023;2.2L;2.2 CRDi HTRAC;200 ch;Suspension;Amortisseurs avant;HYU-SAN-SHK-F-2018
Hyundai;Santa Fe IV;2018;2023;2.2L;2.2 CRDi HTRAC;200 ch;Moteur;Kit de distribution;HYU-SAN-BELT-2018
Hyundai;Santa Fe IV;2018;2023;2.2L;2.2 CRDi HTRAC;200 ch;Moteur;Bougies;HYU-SAN-SPK-2018
Hyundai;Santa Fe IV;2018;2023;2.2L;2.2 CRDi HTRAC;200 ch;Eclairage;Phare avant droit;HYU-SAN-LGT-FR-2018
Hyundai;Santa Fe IV;2018;2023;2.2L;2.2 CRDi HTRAC;200 ch;Carrosserie;Pare-chocs avant;HYU-SAN-BMP-F-2018
Hyundai;i10 II;2013;2019;1.0L;1.0 MPi;66 ch;Filtration;Filtre à huile;HYU-I10-OIL-2013
Hyundai;i10 II;2013;2019;1.0L;1.0 MPi;66 ch;Filtration;Filtre à air;HYU-I10-AIR-2013
Hyundai;i10 II;2013;2019;1.0L;1.0 MPi;66 ch;Filtration;Filtre à carburant;HYU-I10-FUEL-2013
Hyundai;i10 II;2013;2019;1.0L;1.0 MPi;66 ch;Freinage;Plaquettes de frein avant;HYU-I10-BRK-F-2013
Hyundai;i10 II;2013;2019;1.0L;1.0 MPi;66 ch;Freinage;Disques de frein avant;HYU-I10-DSC-F-2013
Hyundai;i10 II;2013;2019;1.0L;1.0 MPi;66 ch;Freinage;Plaquettes de frein arrière;HYU-I10-BRK-R-2013
Hyundai;i10 II;2013;2019;1.0L;1.0 MPi;66 ch;Suspension;Amortisseurs avant;HYU-I10-SHK-F-2013
Hyundai;i10 II;2013;2019;1.0L;1.0 MPi;66 ch;Moteur;Kit de distribution;HYU-I10-BELT-2013
Hyundai;i10 II;2013;2019;1.0L;1.0 MPi;66 ch;Moteur;Bougies;HYU-I10-SPK-2013
Hyundai;i10 II;2013;2019;1.0L;1.0 MPi;66 ch;Eclairage;Phare avant droit;HYU-I10-LGT-FR-2013
Hyundai;i10 II;2013;2019;1.0L;1.0 MPi;66 ch;Carrosserie;Pare-chocs avant;HYU-I10-BMP-F-2013
Hyundai;i10 II;2013;2019;1.2L;1.2 MPi;87 ch;Filtration;Filtre à huile;HYU-I10-OIL-2013
Hyundai;i10 II;2013;2019;1.2L;1.2 MPi;87 ch;Filtration;Filtre à air;HYU-I10-AIR-2013
